_class,_id,batchId,Year,Quarter,Month,Day,createdBy,designId,Year,Quarter,Month,Day,lastModifiedBy,qrCode,type,urlPrefix
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5cf382ecd43e5d5bb40,6632d5cf382ecd43e5d5bb3c,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d384382ecd43e5d5bb00,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,nfiJjk,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5cf382ecd43e5d5bb41,6632d5cf382ecd43e5d5bb3c,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d384382ecd43e5d5bb00,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,IcdEfg,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5cf382ecd43e5d5bb43,6632d5cf382ecd43e5d5bb42,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d384382ecd43e5d5bb01,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,z01ZzA,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5cf382ecd43e5d5bb44,6632d5cf382ecd43e5d5bb42,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d384382ecd43e5d5bb01,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,FcdFGg,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d0382ecd43e5d5bb46,6632d5d0382ecd43e5d5bb45,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d385382ecd43e5d5bb02,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,kno78L,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d0382ecd43e5d5bb47,6632d5d0382ecd43e5d5bb45,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d385382ecd43e5d5bb02,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,Jlm56K,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d0382ecd43e5d5bb48,6632d5d0382ecd43e5d5bb45,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d385382ecd43e5d5bb02,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,Lpq90M,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d0382ecd43e5d5bb4a,6632d5d0382ecd43e5d5bb49,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d385382ecd43e5d5bb03,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,XNFSYZ,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d0382ecd43e5d5bb4b,6632d5d0382ecd43e5d5bb49,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d385382ecd43e5d5bb03,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,WBUI1P,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d0382ecd43e5d5bb4c,6632d5d0382ecd43e5d5bb49,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d385382ecd43e5d5bb03,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,YUBXK3,URL,https://securetag.in/found
